name,version,location,github_url,curse_modid,curse_fileid,side,extra_folder
Unimixins,0.1.11,Github,https://github.com/LegacyModdingMC/UniMixins/releases/download/0.1.11/+unimixins-all-1.7.10-0.1.11.jar,,,BOTH,
AE2Stuff,0.6.0,Github,https://github.com/GTNewHorizons/ae2stuff/releases/download/0.6.0-GTNH/ae2stuff-0.6.0-GTNH.jar,,,BOTH,
Aether,1.1.2.2,Curse,,255308,3280117,BOTH,
Agricraft,1.5.0,Curse,,225635,2284130,BOTH,
AOBD,2.9.2,Curse,,221863,2305237,BOTH,
AppleCore,3.2.11,Github,https://github.com/GTNewHorizons/AppleCore/releases/download/3.2.11/AppleCore-3.2.11.jar,,,BOTH,
Applied Energistics 2,rv3-beta-262,Github,https://github.com/GTNewHorizons/Applied-Energistics-2-Unofficial/releases/download/rv3-beta-262-GTNH/appliedenergistics2-rv3-beta-262-GTNH.jar,,,BOTH,
Aroma1997Core,1.0.2.16,Curse,,223735,2257644,BOTH,
Aroma1997s Dimensional World,1.1.0.1,Curse,,60092,2219018,BOTH,
Avaritia,1.46,Github,https://github.com/GTNewHorizons/Avaritia/releases/download/1.46/Avaritia-1.46.jar,,,BOTH,
AvaritiaAddons,1.5.5,Github,https://github.com/GTNewHorizons/Avaritiaddons/releases/download/1.5.5-GTNH/Avaritiaddons-1.5.5-GTNH.jar,,,BOTH,
Baublelicious,1.2.2,Curse,,223951,2356498,BOTH,
Baubles,1.0.1.16,Github,https://github.com/GTNewHorizons/Baubles/releases/download/1.0.1.16/Baubles-1.0.1.16.jar,,,BOTH,
bdlib,1.9.8,Github,https://github.com/GTNewHorizons/bdlib/releases/download/1.9.8-GTNH/bdlib-1.7.10-1.9.8-GTNH.jar,,,BOTH,
Better Achievements,0.1.3,Github,https://github.com/GTNewHorizons/BetterAchievements/releases/download/0.1.3/BetterAchievements-1.7.10-0.1.3.jar,,,BOTH,
Better Builder's Wands,0.10.0,Github,https://github.com/GTNewHorizons/BetterBuildersWands/releases/download/0.10.0-GTNH/BetterBuildersWands-0.10.0-GTNH.jar,,,BOTH,
Better Questing,3.4.1,Github,https://github.com/GTNewHorizons/BetterQuesting/releases/download/3.4.1-GTNH/BetterQuesting-3.4.1-GTNH.jar,,,BOTH,
Biblio Craft,1.11.7,Curse,,228027,2423369,BOTH,
Biblio Craft (Natura),1.5,Curse,,228364,2229581,BOTH,
Botania,1.10.1,Github,https://github.com/GTNewHorizons/Botania/releases/download/1.10.1-GTNH/Botania-1.10.1-GTNH.jar,,,BOTH,
BrandonsCore,1.0.0.13,Github,https://github.com/GTNewHorizons/BrandonsCore/releases/download/1.0.0.13-GTNH/BrandonsCore-1.7.10-1.0.0.13-GTNH.jar,,,BOTH,
bspkrsCore,6.16,Curse,,59218,2227503,BOTH,1.7.10
Buildcraft,7.1.36,Github,https://github.com/GTNewHorizons/BuildCraft/releases/download/7.1.36/buildcraft-7.1.36.jar,,,BOTH,
Buildcraft Compat,7.1.14,Github,https://github.com/GTNewHorizons/BuildCraftCompat/releases/download/7.1.14/buildcraft-compat-7.1.14.jar,,,BOTH,
Carpenter's Blocks,3.4.0,Github,https://github.com/GTNewHorizons/CarpentersBlocks/releases/download/3.4.0-GTNH/CarpentersBlocks-3.4.0-GTNH.jar,,,BOTH,
Chance Cubes,2.4.1.182,Curse,,233113,2419789,BOTH,
Chicken Chunks,1.3.4.19,Curse,,229316,2233250,BOTH,
Chisel,2.11.4,Github,https://github.com/GTNewHorizons/Chisel/releases/download/2.11.4-GTNH/chisel-2.11.4-GTNH.jar,,,BOTH,
CodeChickenCore,1.1.11,Github,https://github.com/GTNewHorizons/CodeChickenCore/releases/download/1.1.11/CodeChickenCore-1.1.11.jar,,,BOTH,
CodeChickenLib,1.1.8,Github,https://github.com/GTNewHorizons/CodeChickenLib/releases/download/1.1.8/CodeChickenLib-1.1.8.jar,,,BOTH,1.7.10
CoFH Core,3.1.4-329,Curse,,69162,2388750,BOTH,
CoFH Lib,1.2.1-185,Curse,,220333,2388747,BOTH,
Compacter,1.1.0.12,Curse,,231549,2251463,BOTH,
ComputerCraft,1.75,Curse,,67504,2269339,BOTH,
Cooking For Blockheads,1.2.16,Github,https://github.com/GTNewHorizons/CookingForBlockheads/releases/download/1.2.16-GTNH/CookingForBlockheads-1.2.16-GTNH.jar,,,BOTH,
CraftTweaker,3.2.13,Github,https://github.com/GTNewHorizons/CraftTweaker/releases/download/3.2.13/CraftTweaker-3.2.13.jar,,,BOTH,
CustomThings,0.0.3,Github,https://github.com/Project-Diana/CustomThings/releases/download/0.0.3/customthings-0.0.3.jar,,,BOTH,
