Mod:Item:MetaData, Localized Name, Unlocalized Name, Is Air?, Class Name
minecraft:stone, Stone, tile.stone, true, net.minecraft.item.ItemBlock
minecraft:grass, Grass Block, tile.grass, true, net.minecraft.item.ItemBlock
minecraft:dirt:0, Dirt, tile.dirt.default, true, net.minecraft.item.ItemStack
minecraft:dirt:2, Podzol, tile.dirt.podzol, true, net.minecraft.item.ItemStack
minecraft:cobblestone, Cobblestone, tile.stonebrick, true, net.minecraft.item.ItemBlock
minecraft:planks:0, Oak Wood Planks, tile.wood.oak, true, net.minecraft.item.ItemStack
minecraft:planks:1, Spruce Wood Planks, tile.wood.spruce, true, net.minecraft.item.ItemStack
minecraft:planks:2, Birch Wood Planks, tile.wood.birch, true, net.minecraft.item.ItemStack
minecraft:planks:3, Jungle Wood Planks, tile.wood.jungle, true, net.minecraft.item.ItemStack
minecraft:planks:4, Acacia Wood Planks, tile.wood.acacia, true, net.minecraft.item.ItemStack
minecraft:planks:5, Dark Oak Wood Planks, tile.wood.big_oak, true, net.minecraft.item.ItemStack
minecraft:sapling:0, Oak Sapling, tile.sapling.oak, true, net.minecraft.item.ItemStack
minecraft:sapling:1, Spruce Sapling, tile.sapling.spruce, true, net.minecraft.item.ItemStack
minecraft:sapling:2, Birch Sapling, tile.sapling.birch, true, net.minecraft.item.ItemStack
minecraft:sapling:3, Jungle Sapling, tile.sapling.jungle, true, net.minecraft.item.ItemStack
minecraft:sapling:4, Acacia Sapling, tile.sapling.acacia, true, net.minecraft.item.ItemStack
minecraft:sapling:5, Dark Oak Sapling, tile.sapling.roofed_oak, true, net.minecraft.item.ItemStack
minecraft:bedrock, Bedrock, tile.bedrock, true, net.minecraft.item.ItemBlock
minecraft:flowing_water, Water, tile.water, true, net.minecraft.item.ItemBlock
minecraft:water, Water, tile.water, true, net.minecraft.item.ItemBlock
minecraft:flowing_lava, Lava, tile.lava, true, net.minecraft.item.ItemBlock
minecraft:lava, Lava, tile.lava, true, net.minecraft.item.ItemBlock
minecraft:sand:0, Sand, tile.sand.default, true, net.minecraft.item.ItemStack
minecraft:sand:1, Red Sand, tile.sand.red, true, net.minecraft.item.ItemStack
minecraft:gravel, Gravel, tile.gravel, true, net.minecraft.item.ItemBlock
minecraft:gold_ore, Gold Ore, tile.oreGold, true, net.minecraft.item.ItemBlock
minecraft:iron_ore, Iron Ore, tile.oreIron, true, net.minecraft.item.ItemBlock
minecraft:coal_ore, Coal Ore, tile.oreCoal, true, net.minecraft.item.ItemBlock
